Date,Open,High,Low,Close,Adj Close,Volume
2019-10-28,7324.500000,7346.899902,7291.600098,7331.299805,7331.299805,676041800
2019-10-29,7331.299805,7335.700195,7264.700195,7306.299805,7306.299805,710020700
2019-10-30,7306.299805,7334.000000,7278.200195,7330.799805,7330.799805,672191900
2019-10-31,7330.799805,7335.200195,7245.200195,7248.399902,7248.399902,847657500
2019-11-01,7248.399902,7307.200195,7248.399902,7302.399902,7302.399902,582078600
2019-11-04,7302.399902,7392.700195,7302.399902,7369.700195,7369.700195,582661700
2019-11-05,7369.700195,7402.799805,7369.600098,7388.100098,7388.100098,673186900
2019-11-06,7388.100098,7398.799805,7363.600098,7396.700195,7396.700195,618514700
2019-11-07,7396.700195,7431.899902,7396.000000,7406.399902,7406.399902,668773400
2019-11-08,7406.399902,7406.799805,7349.100098,7359.399902,7359.399902,551986100
2019-11-11,7359.399902,7359.399902,7258.500000,7328.500000,7328.500000,828425100
2019-11-12,7328.500000,7390.000000,7328.200195,7365.399902,7365.399902,754644000
2019-11-13,7365.399902,7365.399902,7301.700195,7351.200195,7351.200195,695720800
2019-11-14,7351.200195,7351.299805,7292.799805,7292.799805,7292.799805,675226500
2019-11-15,7292.799805,7335.600098,7243.200195,7302.899902,7302.899902,770473200
2019-11-18,7302.899902,7335.399902,7293.399902,7307.700195,7307.700195,764459700
2019-11-19,7307.700195,7404.500000,7307.700195,7323.799805,7323.799805,605672300
2019-11-20,7323.799805,7323.799805,7219.100098,7262.500000,7262.500000,814232500
2019-11-21,7262.500000,7262.500000,7197.299805,7238.600098,7238.600098,608185000
2019-11-22,7238.600098,7343.299805,7238.500000,7326.799805,7326.799805,611242800
2019-11-25,7326.799805,7401.799805,7326.799805,7396.299805,7396.299805,570982800
2019-11-26,7396.299805,7421.299805,7385.000000,7403.100098,7403.100098,1058651500
2019-11-27,7403.100098,7446.000000,7400.399902,7429.799805,7429.799805,626246700
2019-11-28,7429.799805,7429.799805,7385.299805,7416.399902,7416.399902,605369500
2019-11-29,7416.399902,7421.399902,7346.500000,7346.500000,7346.500000,627336500
2019-12-02,7346.500000,7400.299805,7277.000000,7285.899902,7285.899902,928558400
2019-12-03,7285.899902,7285.899902,7134.899902,7158.799805,7158.799805,824932200
2019-12-04,7158.799805,7190.000000,7139.899902,7188.500000,7188.500000,688011100
2019-12-05,7188.500000,7194.799805,7131.200195,7137.899902,7137.899902,650618500
2019-12-06,7137.899902,7241.500000,7137.899902,7239.700195,7239.700195,516373000
2019-12-09,7239.700195,7255.700195,7217.799805,7233.899902,7233.899902,619399300
2019-12-10,7233.899902,7234.399902,7137.799805,7213.799805,7213.799805,703527300
2019-12-11,7213.799805,7250.700195,7195.500000,7216.299805,7216.299805,820837400
2019-12-12,7216.299805,7307.399902,7216.100098,7273.500000,7273.500000,727087300
2019-12-13,7273.500000,7429.000000,7223.399902,7353.399902,7353.399902,1906667700
2019-12-16,7353.399902,7552.700195,7353.200195,7519.100098,7519.100098,1045291600
2019-12-17,7519.100098,7537.700195,7497.200195,7525.299805,7525.299805,1096514900
